,POSTCODE,COORDS,PERUS
76216,980,POINT (25506857.62980135 6676033.538535369),704
76217,980,POINT (25506857.62980135 6676033.538535369),704
76218,980,POINT (25507016.74988145 6676132.431867609),704
76219,980,POINT (25507016.74988145 6676132.431867609),704
76220,980,POINT (25506998.36322378 6676111.862733478),704
76221,980,POINT (25506984.93847895 6676092.439595061),704
76222,980,POINT (25507018.44905297 6676076.448627525),704
76223,980,POINT (25506951.18504647 6676017.359050497),704
76224,980,POINT (25507032.89689216 6676160.940748767),704
76225,980,POINT (25507032.89689216 6676160.940748767),704
76226,980,POINT (25507032.89689216 6676160.940748767),704
76227,980,POINT (25507026.32368965 6676146.733743532),704
76228,980,POINT (25507026.32368965 6676146.733743532),704
76229,980,POINT (25507026.32368965 6676146.733743532),704
76230,980,POINT (25507052.31921379 6676147.519054521),704
76231,980,POINT (25507052.31921379 6676147.519054521),704
76232,980,POINT (25507052.31921379 6676147.519054521),704
76233,980,POINT (25507045.74606222 6676133.312014655),704
76234,980,POINT (25507045.74606222 6676133.312014655),704
76235,980,POINT (25507045.74606222 6676133.312014655),704
76236,980,POINT (25507072.76967537 6676133.130130068),704
76237,980,POINT (25507072.76967537 6676133.130130068),704
76238,980,POINT (25507072.76967537 6676133.130130068),704
76239,980,POINT (25507067.19493055 6676118.947263302),704
76240,980,POINT (25507067.19493055 6676118.947263302),704
76241,980,POINT (25507067.19493055 6676118.947263302),704
76242,980,POINT (25507060.74018637 6676034.693242719),704
76243,980,POINT (25507297.88013796 6676531.237662915),704
76244,980,POINT (25507147.30469199 6676579.707445064),704
76245,980,POINT (25507147.30469199 6676579.707445064),704
76246,980,POINT (25507197.95684103 6676658.299237992),704
76247,980,POINT (25507197.95684103 6676658.299237992),704
76248,980,POINT (25507170.65881069 6676667.482065069),704
76249,980,POINT (25507170.65881069 6676667.482065069),704
76250,980,POINT (25507137.18380959 6676616.432699922),704
76251,980,POINT (25507137.18380959 6676616.432699922),704
76252,980,POINT (25507146.08971254 6676619.703416905),704
76253,980,POINT (25507146.08971254 6676619.703416905),704
76254,980,POINT (25507155.93443716 6676625.003761439),704
76255,980,POINT (25507155.93443716 6676625.003761439),704
76256,980,POINT (25507171.63099622 6676635.485291703),704
76257,980,POINT (25507171.63099622 6676635.485291703),704
76258,980,POINT (25507175.3862903 6676643.603733878),704
76259,980,POINT (25507175.3862903 6676643.603733878),704
76260,980,POINT (25507199.23175614 6676616.309051177),704
76261,980,POINT (25507199.23175614 6676616.309051177),704
76262,980,POINT (25507095.09764209 6676684.203254326),704
76263,980,POINT (25507153.5451192 6676703.993042537),704
76264,980,POINT (25507121.18479289 6676615.944744795),704
76265,980,POINT (25507114.82284406 6676627.764756774),704
76266,980,POINT (25507072.13292408 6676715.533575103),704
76267,980,POINT (25507072.13292408 6676715.533575103),704
76268,980,POINT (25507072.13292408 6676715.533575103),704
76269,980,POINT (25507089.28062013 6676744.078092961),704
76270,980,POINT (25507089.28062013 6676744.078092961),704
76271,980,POINT (25507091.16089596 6676781.160984772),704
76272,980,POINT (25507091.16089596 6676781.160984772),704
76273,980,POINT (25507105.00591774 6676819.604069954),704
76274,980,POINT (25507105.00591774 6676819.604069954),704
76275,980,POINT (25507148.03161115 6676786.886935485),704
76276,980,POINT (25507148.03161115 6676786.886935485),704
76277,980,POINT (25507173.45111991 6676773.644716483),704
76278,980,POINT (25507173.45111991 6676773.644716483),704
76279,980,POINT (25507155.02779657 6676754.077439601),704
76280,980,POINT (25507066.71297833 6676762.406968832),704
76281,980,POINT (25507066.71297833 6676762.406968832),704
76282,980,POINT (25507118.85151368 6676791.999788933),704
76283,980,POINT (25507118.85151368 6676791.999788933),704
76284,980,POINT (25507106.12645422 6676716.568709153),704
76285,980,POINT (25507106.12645422 6676716.568709153),704
76286,980,POINT (25507172.05407775 6676753.587095288),704
76287,980,POINT (25507172.05407775 6676753.587095288),704
76288,980,POINT (25507113.24904438 6676712.772111539),704
76289,980,POINT (25507113.24904438 6676712.772111539),704
76290,980,POINT (25507004.50893645 6676503.334395243),704
76291,980,POINT (25506971.90977873 6676555.381434185),704
76292,980,POINT (25506992.02957248 6676585.011881575),704
76293,980,POINT (25506958.12716658 6676514.933503333),704
76294,980,POINT (25506911.98393958 6676485.521431795),704
